id,tweet
1.58E+18,maksud nya menyelesaikan jabatan tanpa di kriminalisasi gtu :D https://t.co/4kdOTKV9B7
1.58E+18,"RT @GunRomli: Bapak Christoforus Rea (Tokoh Ummat Katolik) namanya dicatut untuk gelar 'Bapak Toleransi Beragama' unt Anies Baswedan.

Dia…"
1.58E+18,"@tempodotco Hello @ojkindonesia  &amp; @Michelin.  Multistrada have to refloat shares to 7,5% at max 2 years in which in this case 21 May 2021. Til now there is no action. Michelin, please honour and fullfiled the regulation POJK No.3/POJK.04/2021. OJK, please protect the investors.
@IDX_BEI"
1.58E+18,"RT @alisyarief: Partai Koalisi Pemerintah 82% suaranya di Parlemen (dari 7 partai). Saat Pencapresan, tak mau bersatu. Mereka ingin sendiri…"
1.58E+18,"RT @BosPurwa: Sinyal Buat Koalisi #AK24

12 Oktoober 2022
Jenderal Andika Perkasa :
Saya belum pernah ketemu, blm komunikasi

14 Oktober 20…"
1.58E+18,RT @JarnasABW: Simpul relawan Anies Baswedan siap bersinergi dengan partai2 pendukung. Kemarin di sumatera utara berbagai simpul relawan An…
1.58E+18,"RT @BosPurwa: #IndonesiaMemanggil 
5 Tahun Anies Baswedan memimpin DKI Jakarta dibanding dengan periode sebelumnya maka:

Lebih baik�Retwee…"
1.58E+18,RT @aLy_Bima: Video ini hanya untuk orang yang belum tahu prestasi gubernur DKI jakarta bang anies baswedan � https://t.co/iO8tYUlXtu
1.58E+18,"RT @tempodotco: ""Tidak ringan permasalahan di Jakarta, sangat kompleks sekali. Tapi Bapak (Anies) bisa menyelesaikan,"" ujar Mendag Tito Kar…"
1.58E+18,"@alisyarief Buyar, ambyar ,mereka berdesak desakan  keluar ...Terpapar GAS AIR MATA , ali san���
.ISYARAT KANJURUHAN"
1.58E+18,RT @aLy_Bima: Video ini hanya untuk orang yang belum tahu prestasi gubernur DKI jakarta bang anies baswedan � https://t.co/iO8tYUlXtu
1.58E+18,"RT @aLy_Bima: Bosen ga sahabat klo yang di post prestasi �

Halte megah bundaran HI karya anies baswedan. https://t.co/Hu9Tiry1Ms"
